Redman,Newark,1991,2011
Solistiyhtye Suomi,,1990,1992
Eddie Cantor,New York,1960,2000
Schizoid,,1986,1994
Kai Winding,Aarhus,1942,1975
Sonny Simmons,Sicily Island,1981,2017
Mira,Tallahassee,2004,2009
Citizen Kaned,,1999,2013
The Brooklyn Tabernacle Choir,,1987,1997
Ellen McIlwaine,Nashville,1964,2003
Vince Guaraldi / Bola Sete,San Francisco,1999,2013
Maurice Chevalier,Menilmontant,2008,2014
Carl Cox Vs Yousef,,1973,2009
Organized Konfusion,SPRINGFIELD,1987,1999
Martina McBride,Medicine Lodge,1985,2011
Horace Andy,Kingston,1965,1987
Nazz,,1967,2012
Tyrone Davis,Greenville,1996,2001
Hot Tuna,San Francisco,1961,1972
Richard Burton,Pennsylvania,1961,1978
Rory Block,New York,2008,2010
Boyz II Men,Philadelphia,1991,2015
Howard Armstrong,Dayton,1959,2006
Donny Hathaway,Chicago,1963,1971
Miguel Gallardo,,1991,1999
Les Ogres De Barback,,1998,2001
DJ X-Change featuring DJ Joey A,,1986,1990
Morel,Washington DC,2015,2017
Tony Joe White,Goodwill,1963,1976
Wolfmother,Sydney,2009,2017
The Roches,New York City,1986,2012
Bob Margolin,Boston,1955,1996
Thomas Battenstein,,2015,2015
Jupiter Rising,,2007,2012
Dharma Bums,,1987,1989
Saafir,,1988,2017
The Verve Pipe,Lansing,1985,2008
Bob Neuwirth,New York,1976,1991
Marvin Sapp,Grand Rapids,2005,2007
James Hunter,Austin,1995,2016
Nelson Ned, UbA!,1963,1987
Mish Mash,,1967,2008
Cama,,1991,2009
Maxi Priest,Great Britain / UK,1984,1994
Porcupine Tree,,1991,2005
Ragheb Alama,,1981,2009
Foo Fighters,Seattle,2003,2015
Shakira Featuring Wyclef Jean,Barranquilla,1948,1985
The Avengers,California - SF,1966,1976
Robben Ford,Ukiah,1982,2011
Brazilian Tropical Orchestra,,1971,2006
Gil Semedo,Netherlands,1953,1964
Xmilk,,1977,1987
Dolce; Oscar G.,Oklahoma,2006,2017
Britt Nicole, NC,1989,1996
Toni Braxton Featuring Shaggy,Severn,1986,2016
Sven Tasnadi,,1984,2017
Eddie,,1973,2001
Enthroned,Belgica -- Namur,2002,2012
Milan Band,,1955,1994
Johnny Osbourne,,1986,2004
Dolly Parton,Locust Ridge,1971,1990
Rance Allen Group,Detroit,2017,2017
Pearl Jam,Seattle,1990,2008
Natalie Cole,Los Angeles,2010,2013
Mastodon,Atlanta,2001,2017
Kiril Valeri,Jerez De La Frontera (CA!diz),2012,2012
Word,,1989,1995
DJ Quik,Compton CA,1976,1995
Hank Locklin,McLellan,1992,2017
BT,Earth,1980,2011
2-4 Grooves feat. Reki D.,,1996,2016
The Jordanaires,Springfield,1965,1977
Descendents,Los Angeles,1974,1991
L.A. Guns,katy,1980,1999
Bare Jr.,,1983,2015
Shelley Fabares,Santa Monica,1950,1977
Norrie Paramor,England,1955,1960
Gary Hobbs,,1954,1974
Diesel Boy,Santa Rosa,1993,2011
Angelo Badalamenti,New Jersey,1993,2002
Cradle Of Filth,,1979,2009
Jim Chappell,United States,1984,2005
Ladybug,NY - New York City,1970,1995
Bandido,,2012,2013
Brixx,,2006,2015
Susana Seivane,,2007,2016
Leland Martin,Blandford,1964,1992
Test Icicles,,1995,2005
Heaven 17,London,1978,1992
React,,1987,1987
Mance Lipscomb,Navasota,1980,2013
Scott Wesley Brown,Atlanta Georgia USA,1952,1967
FlA!vio JosA(c),,1948,1962
Moss,,1996,2016
Pery Ribeiro,,2010,2011
Soular,Oregon,1968,1972
Dimmu Borgir,Oslo,1994,2011
Public Image Ltd,London,1971,2010
Gary Moore,Belfast,1980,2008
Pascal Sangla,,2004,2017
The B-52's,Athens,1981,2013
Dakis,,1949,1949
Sex Pistols,,1986,1995
Chris Brown,Fairfax,1953,1956
Deekline & Wizard,,1988,2004
Daniela DessA!,Genova,1963,1985
Hem,NY - New York City,1994,2009
Lily Allen,LDN,1989,2008
Pentangle,,1957,1977
DJ Dips,,1958,1987
Ana Bekuta,,1951,1971
Jason Miles,NY - New York City,1982,2017
Busdriver,,1993,2011
Byther Smith,Monticello,1977,2015
Bebo & Cigala,,1997,2009
Bizarre Inc,Stafford,1996,1997
Bongzilla,Madison,1993,2003
The Gone Jackals,,1995,2000
The Willis Brothers,,1962,2003
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Sao Paulo,1967,1987
S.U.P,,1983,2016
Boogie Pimps,,1970,1986
Brian Keane,Texas,1984,1994
Aberdeen,Poza Rica,1969,1995
The Killers,,1996,2011
Gloriana,Nashville,2017,2017
Butterfly Temple,,1992,2001
Grant Geissman,PEARLINGTON,2009,2015
20/20,,1996,1999
JosA(c) Augusto,,2001,2014
Orbital,Sevenoaks,1998,2009
Bone Thugs-N-Harmony / Akon,Cleveland,2003,2010
Moonsorrow,,1986,2003
N.W.A.,Compton,1984,1991
Rage Against The Machine,Los Angeles,1985,2011
Jazz Gillum,Indianola,1952,1976
Rise Against,Chicago,2003,2013
Ultraviolence,,1975,2012
Korn,Bakersfield,1991,2013
Sir Neville Marriner,,1986,2002
Agnes,Sweden,2006,2017
James Horner,Los Angeles,1978,2010
Tantric,,2001,2015
The Irish Tenors,,1979,1995
U2,Dublin,2003,2013
Little Joe,,2014,2015
Blind Blake & The Royal Victoria Hotel Calypsos,Jacksonville,1951,1968
Percy Faith,Toronto,2007,2015
Extreme,,1994,1999
Alexandre Desplat,,1999,2006
Prozak,London,1982,2014
Jerry Butler,Sunflower,2010,2011
Yvette Horner,,1983,2008
Delta 9,,2000,2009
Placebo,London,1994,2003
Tam Tam Go!,,1999,2015
Gertrudis,,2007,2015
Warrior King,,1986,2013
LORE,,2016,2017
Soul Asylum,Minneapolis,1982,2000
Carl Doy with NZSO,,1951,1953
The Nightraver & The Magican,,1949,1977
Rah Digga (Featuring Outsidaz),New Jersey,1996,2003
RUN-DMC,,1983,2009
Bert Kaempfert And His Orchestra,,1956,1999
Lady May,Windhoek,2014,2014
Nightwish,Kitee,2006,2008
Frank Chacksfield,Battle,2001,2001
Cesar Camargo Mariano/Helio Delmiro,,1954,1976
Buzzhorn,Milwaukee,1982,2008
Silverstein,Burlington,1992,2010
!!!,,1994,2011
The Secret Life of Teenage Girls,,1981,1988
The Notorious B.I.G.,,1997,2011
Led Zeppelin,England,1964,1988
Sandi Thom,Scotland,1991,2014
Carl Belew,Salina,1961,2004
The Field Mice,,1986,2016
Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,Los Angeles,1967,1968
Catherine Howe,Yorkshire,1994,2002
Malkit Singh,,1977,1995
Rodney O & Joe Cooley,,1990,1997
Dean Martin,Steubenville,2002,2009
Strata,Campbell,1993,2008
James Darren,Philadelphia,1968,2009
Till West & DJ Delicious,,1986,2012
Carlos NuA+-ez,,1985,2010
Igor Stravinsky,,1951,1959
Gene Clark,Los Angeles,1991,1999
Maysa,,1949,1981
The Shirelles,Passaic,1947,1970
The American Boychoir,New Jersey,1989,1991
JDS,,2008,2014
Panic At The Disco,Las Vegas,1950,1967
Jan Howard,West Plains,1951,1977
Abraham Laboriel,Mexico City,1980,1999
MichA"le Arnaud,,1999,2013
Sticky Fingaz,Brookyln,1991,2002
Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,,1959,1990
The Jeff Healey Band,,1971,1998
Angela Dimitriou,,2011,2015
Danny Wilson,Dundee,1987,2008
Lionel Rogg,Geneva,1990,1991
Java,,1991,2007
SWAMI featuring Asuivre,Birmingham/ London,1991,2012
The Black Velvet Band,,1964,2013
Lisa Lynne,California - LA,1979,2007
Pe'z,,1992,2016
Shawn Colvin,Vermillion,1989,2009
Stephy Tang,,1967,2003
Backstreet Boys,Orlando,1995,2007
Tiny Tim,New York,1986,2000
Kenny G featuring Daryl Hall,Seattle,1990,1997
Christos Dantis,,1979,2017
David Martin,California - SF,2014,2015
John Davis,Pennsylvania,1999,2016
Trafik,Utah,2013,2015
Nick Ingman;Gavyn Wright,London,2011,2015
Eddie Calvert,,1985,2005
Glad,,1991,1998
Steel Rain,California - SF,1959,1984
Los Manolos,,2011,2011
Bombay Rockers,Denmark,2016,2017
Jinx,Zagreb Croatia,1959,1985
Chase & Status,,1993,2009
Tom Petty,Gainesville,1975,2001
Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,,1990,2006
Pucho & His Latin Soul Brothers,,1977,1999
Soul Mekanik,,1988,1999
Mitch Ryder,Hamtramck,1988,2005
Blingtones,,1986,1987
Luna Orbit Project,,1960,1994
Danilo Perez,Panama,2002,2013
Line Renaud,,1980,2006
King Curtis,Fort Worth,1973,2009
Sophie B. Hawkins,New York,1982,2002
Lupe Fiasco,Chicago,2004,2017
Wilks,,1952,1998
Marc Shaiman,,2005,2012
40 Grit,,1985,2008
Gwen Stefani,,1991,2011
Steve Morse,Hamilton,1989,2007
Bitter End,Noci (BA),1961,1995
Ethel Merman,New York,1963,2010
Leon Russell & New Grass Revival,Lawton,2013,2013
Story Of The Year,LONG BEACH,2004,2006
Natural Elements,,1993,2017
Neil Sedaka,Brooklyn,1984,1999
Maurice Larcange,,1972,1973
A Static Lullaby,Chino Hills,1992,2011
John Wesley_ John Wesley,Brandon,1989,2017
Coph Nia,,2000,2005
Tabu feat. Mitzib,Texas,1963,2008
Nights Like These,Memphis,1992,2017
Oasis,Manchester,1953,2001
John Davis & Emma Doyle,Pennsylvania,2006,2006
Stew,New York,1989,2008
Jauida,,1979,2009
Eddy Arnold,Madisonville,1955,1973
All Time Low,Baltimore,2007,2008
Brian Dullaghan,,2015,2016
Richard Galliano,Le Cannet,1999,2006
Regina Belle,Englewood,1991,2004
Debbie Davies,Los Angeles,1978,1998
STEVE CAMP,,2005,2011
Jay Tee & Baby Bash,California - SF,1949,1957
The Stolen Minks,,1993,1996
Daath,,1997,2016
Extasick,,1986,2017
UFO,Arizona,2013,2014
Avril - Remix By Ana Rago,,1983,2005
Pat Travers,Toronto,1990,1991
SNOWPATROL,Dundee,1970,1995
Die Fantastischen Vier,Germany,1987,2005
Jeanie Lambe & The Danny Moss Quartet,,1972,2014
Yung Joc,College Park,2007,2014
Philippe Sarde,Neuilly-sur-Seine,1982,2015
Orquesta AragA3n,Cuba,1998,2014
State of Chaos,,1993,2006
Dropkick Murphys,Boston,1987,2011
Taint,,2001,2011
VHS Or Beta,Louisville,2002,2013
Leonard Kwan,,1985,2011
True Believers,,2007,2012
Les Hurlements D'leo,,1994,2006
Charanga Forever,,1983,2003
Zuzu Bollin,Frisco,1990,2009
Bullet For My Valentine,Bridgend,1999,2005
The Hit Factory,,1977,1993
Terry Snyder,,1968,2008
Marcus Miller,Brooklyn,1969,2001
Beatnuts,,1994,2011
Ayo,United States,1999,2011
Kid Sister,Chicago IL,2009,2010
Mons Leidvin Takle,,1993,2013
Sizzla,,1985,2012
Helen Love,Cardiff,1985,2001
David Mingyue Liang,,2006,2012
Pursuit Of Happiness,Toronto,1994,2011
Bobby Hutcherson,Los Angeles,1950,1976
Gregory Isaacs,Kingston,1991,1993
The Pharcyde,Los Angeles,1999,2014
Azis,,2005,2016
Amy Winehouse,London,1999,2004
George Lopez,ORANGE,2001,2011
Les Hou-Lops,,1969,1978
The Cosmosamatics,,1958,1998
Jackie Edwards,Jamaica,2004,2007
Michael Card,,1980,1987
Ensiferum,Helsinki,1979,2008
Leila Chicot,FRANCE,2002,2013
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,Los Angeles,1988,2008
Erkki Junkkarinen,,1950,1957
Scar Symmetry,Sweden,2002,2017
Oztara,,2000,2017
Sonia Dersion,,1999,2006
Christina Aguilera,,1985,2006
Headhunter,,1984,1987
Eighteen Visions,Orange County,1988,2008
Baby Huey & The Baby Sitters,,1953,1986
Elmore James,Richland,1965,1981
Rising Lion,Florida,1996,2001
George Harrison,Liverpool,1974,2009
Weezer,,1988,2007
Boots Randolph,Paducah,1962,1983
Jackson United,,2001,2012
Bobbie Gentry,Chickasaw County,1959,1970
Creedence Clearwater Revived,Lanciano Italy,1956,1990
The Johnny Otis Orchestra,Vallejo,1980,1995
B.A.D.,London,1995,2011
Luar Na Lubre,,1996,2005
Circular,Bergen,1999,2009
Fruko Y Sus Tesos,,1991,2012
The Bucketheads,New York,1987,2016
The Police,London,1982,2007
Kinky,Monterrey,1954,1991
The Real Kids,,1994,2008
Eddie Boyd,Stovall,2010,2013
Tha Chamba,,1974,2009
Jack Orsen & Taktlo$$,,1995,2005
Olov Johansson_ Catriona Mckay,,1997,2012
Shriekback,London,1993,2013
Hatebreed,New Haven,2000,2008
John Frizzell,,1990,2013
Sister Hazel,Gainesville,2006,2016
J.J. Cale,Oklahoma City,1980,1996
Precious Bryant,North Carolina,2004,2016
Selena,Texas,1958,2005
Brooke Valentine,Houston,1991,2011
Krystof,HavAAov,2005,2009
Claire Hamill,UK - England - South East,1968,1993
Los Originales De San Juan,,2016,2016
Black Flag,Los Angeles,1979,1983
Barbarito Diez,,1970,2008
Aaron Watson,,1988,2009
Mary Black,Ireland,1991,2015
Satan's Host,,1974,1997
The Impressions,United States,1959,1971
Owl City,Minnesota,1994,2014
Bobby Bland,Rosemark,2000,2011
Headliners,,1987,2016
Jane Winther,,2010,2012
The Rascals,New York,1984,2000
Blind Blake,Jacksonville,1995,2015
Emilia,Bridgeport,1996,1999
CA3mplices,ES,1983,2014
Emilio,SAN ANTONIO,2008,2014
Nana Caymmi,,2003,2016
Kasia Stankiewicz,,1992,2006
Turisas,Hi?1/2enlinna,1987,2009
ChA(c)co Feliciano And Joe King,,1991,2013
Cache Cache,,1994,2014
David Hudson,,2004,2011
David Summers,,2004,2011
Rummage,,2015,2017
Adr Lavey,,1992,1997
Bill Boyd's Cowboy Ramblers,,1963,2003
Canis Dirus,,1950,1980
Justin,Georgia,1954,1964
La Portuaria,,1984,2015
Antonis Remos,,1959,1990
Percy Faith And His Orchestra,,1993,2010
Stars Like Fleas,Brooklyn,1992,2015
Gaetano Donizetti,,1973,1987
Shakira,Barranquilla,1991,1996
Little Freddie King,Louisiana,1985,2007
Ms. Dynamite,London,1992,2017
Andy Russell,,1957,1967
Blink-182,Poway,1990,2015
Kali,,1991,1995
John Brown,North Carolina,1953,1956
Abysmal Dawn,,2005,2008
Chaotica,Arizona,2014,2015
Lara & The Gumbo Lickers,,2002,2005
Elvin Bishop,Glendale,1996,2009
Gordon Jenkins,Webster Groves,2011,2015
1. Futurologischer Congress,,1951,1955
Asleep At The Wheel,Paw Paw,1952,1975
Neil Innes,Essex,1962,1988
Siouxsie,,1988,2017
Alan Silvestri,New York,2005,2012
Sunnyland Slim,Vance,1997,1998
Dusminguet,,2001,2015
Rudolph Valentino,,1981,1998
Sylvia Patricia,Salvador BRAZIL,1954,1991
Zeromancer,,1989,2009
Two Man Advantage,,1989,2003
Green Day,Berkeley,2003,2017
Chico,Tennessee,1974,1993
KALIMBA,Mexico City,1996,2013
SKOLD vs. KMFDM,,1982,2003
Architecture In Helsinki,Melbourne,2009,2014
Wailing Souls,,1963,1994
Kitaro,Toyohashi,1981,2010
Alice In Chains,Seattle,2007,2012
Bobby Darin,New York,1986,2009
Ini Kamoze,,1976,2013
9th Wonder featuring Defcon_ Phonte,North Carolina,1979,1987
Ill Nino,Nueva Jersey (Estados Unidos),1992,2012
De La Ghetto,,1967,2010
Baroness,,1991,2011
DMX / Eve / Jadakiss,,1994,2013
Melt Banana,,1977,1988
M.I.K.E.,Antwerp,1983,1997
Willie Rosario,Cuomo,1981,2013
Jude Taylor & His Burning Flames,,1981,2010
Metallica,Los Angeles,1979,1993
Sui Generis,,2002,2007
The Red Telephone,Mass. - Boston,1973,1988
T-Bone,Thaba Nchu,1960,1968
Bill Douglas,,2009,2012
DJ Spinn featuring Traxman,,1982,2014
The Radio Dept.,Lund,2004,2017
MAPtley CrA1/4e,Los Angeles,1987,2003
Shy FX & T Power,,2001,2006
Becky Baeling,Rochester,1994,2006
Keb' Mo',Los Angeles,1997,2017
UKW,,1981,1987
THE CHIFFONS,New York,2007,2010
S. Solis y Orquesta,,1976,2002
Commander Cody And His Lost Planet Airmen,,1973,1989
Commissioned,Michigan,1992,2011
Dee Clark,Blythesville,2002,2006
Cauterize,Ohsawa,2003,2013
Laurie Berkner,,1992,2012
DJ Slugo,,2003,2007
Joi,Georgia,1967,2011
Simon & Garfunkel,Forest Hills,1985,2015
Beenie Man Featuring Wyclef And Redman,Kingston,1980,2015
Greater Vision,United States,1996,2002
Anti-Flag,Pittsburgh,1991,2009
Joe Lynn Turner,,1993,2014
Rickie Lee Jones,Chicago,1999,1999
Hysterie,,1996,2013
Aesop Rock,,2001,2016
Bobby Vee,Fargo,1948,1974
Alfredo GutiA(c)rrez,,2011,2016
Shelby Lynne,Quantico,1999,2013
Tora Tora,Memphis,1961,1982
Franz Ferdinand,Glasgow,1992,2011
Hot Chip,London,1996,2010
Gal Costa,,1968,1995
Kathy Mattea,Cross Lane,1999,2016
James Taylor,London,1967,2006
Der Moderne Man,,1968,2002
Jeff Beck,Wallington,1973,2004
Taboo,Cape Town,1995,2012
BigElf,,1997,2017
Tanto Metro & Devonte,,1963,1995
Ray Kane,,1965,1967
Ashes to Ashes,NORWAY,1995,2001
Kelly Clarkson,,2002,2010
Fudge Tunnel,Nottingham,1975,2004
Edgar Bori,Montreal,1982,1995
Jimmy Witherspoon,Gurdon,1955,1973
Dave Eggar,California - LA,1988,2010
Donnie Brooks,Dallas,1989,2005
2raumwohnung,Berlin,1994,2010
SOJA,,1990,1997
Dinosaur Jr.,Amherst,1989,2008
Ulytau,,1969,2002
The Nelons,,1970,1996
The Exies,Los Angeles,1992,2015
Babylon Disco,Karlstad,1997,2007
Kaija Koo,,1986,2005
Gus Viseur,,1997,2002
Dino,Encino,1950,1963
GG Allin,Lancaster,1997,1998
Zimbabwe Legit,,2012,2016
Spinal Tap,,1988,2013
Buzzcocks,London / Ex-Manchester,1974,1999
Stanley Clarke,Philadelphia,1960,1991
Hemdale,,1958,1971
Jesse Malin and The St. Marks Social,Whitestone,1998,2012
3 Doors Down,Escatawpa,1990,2014
Ma Rainey,Columbus,1918,1934
Zombie Girl,Edmonton,2002,2009
Daniel Johnston,Sacramento,1991,1993
Niraj Chag,,1966,1966
JoAPSo Gilberto,,1999,2014
Bone Thugs-N-Harmony,Cleveland,1999,2000
Los Chichos,,1970,2013
Christian McBride,Philadelphia,1989,1997
Jim Kweskin,Stamford,1977,1993
Utopia,ITALY,1990,2007
Foxy Brown,,1993,2015
Muse,UK,1996,2015
String Trio Of New York,,1994,2007
RamA3n Vargas;Vladimir Jurowski,,2007,2008
Portable,,1992,2016
Lili Ivanova,,2015,2016
Furry Lewis,Greenwood,1975,2013
BrAPderna Djup,,1985,1998
Jo-El Sonnier,Rayne,1979,2004
Naughty By Nature;Naughty By Nature featuring Zhane,East Orange,1951,1999
Vanessa Bell Armstrong,Detroit,1955,1975
Radiohead,Oxford,1989,2002
Dave Hollister,LOWELL,2002,2015
Seamus Egan,,1959,1971
Arthur Tracy,Kamenetz-Podolsk,1964,2006
C.C. Adcock,Louisiana,1990,1996
DMX,,1984,2002
Las Ketchup,,1996,2007
C-Side & Petit Mal,Nashua USA,1992,2013
Don Gibson,Shelby,1972,2012
Jewel,Payson,1966,1980
John Legend [feat. Buju Banton],Hawaii,1962,2008
Izzy,,1951,1982
Bury Your Dead,Boston,2002,2010
Our Time Down Here,Great Britain / UK,1954,1976
Pee Wee King,Milwaukee,1964,1964
Acorps de Rue,,1995,2017
Les Blaireaux,Lille (59),1991,2017
Bersuit Vergarabat,Buenos Aires,1987,2014
G-Unit,ABD,1998,2012
Saosin,California,1992,2009
John Williams,NEW YORK,2012,2012
Pardesi,,1985,2003
Baby Grand,California,1997,2007
DJ Ostkurve,,1976,1981
Roy Rogers,Redding,1988,1989
Reni,Manchester,1980,2005
Steve Riley & The Mamou Playboys,,1984,2009
Falco,Vienna,1972,2009
New Roanoke Jug Band,Virginia,2003,2010
Warren Barfield,,1987,2016
Dilated Peoples,Los Angeles,2004,2013
Orquesta Broadway,,1958,2002
Fever Ray,Stockholm,2008,2009
Charles Williams,Texas,1980,1981
Bob Wills,Kosse,1964,2011
The Animals_ Sonny Boy Williamson,Newcastle,1965,1998
MN,,1954,1996
T-Bone Walker,Linden,2014,2015
Floor,,2007,2016
Walter Jackson,Pensacola,2001,2007
Megadrums,,1977,1996
Tim Exile,,1999,2008
Alex Theory,,1956,1995
Bizzy Bone Presents,Columbus,1997,2016
Marcel Mouloudji,,1998,2008
Jerry Reed,OCALA,1975,2004
Cinder,,1999,2012
Speedball,Speedball,1984,2016
Johnny Cash,Kingsland,2002,2010
Rui Da Silva,London,2010,2011
Autumnblaze,,1990,2001
Sister Rosetta Tharpe,Cotton Plant,1948,1989
Hatesex,,1977,1992
Kris Kristofferson,Brownsville,1959,1980
Maurane / Lara Fabian,Ixelles,1993,2014
Rita Chiarelli,,1996,2012
Kiprich,,1958,1992
Pepe Kalle,,1984,2012
Jaime Urrutia,,1954,1989
David Tao,,1978,1982
Goatwhore,New Orleans,1986,2013
SA(c)amus Egan,,1956,1970
Superchumbo,,1983,1991
We Show Up On Radar,nottingham,1964,1986
Gabinete Caligari,,1975,2009
SUMO,New Hampshire,1975,1989
The Clark Sisters,,1987,2005
Basic Channel,Berlin,1981,1995
Tammy Wynette,Itawamba County,1966,1993
Whitesnake,London,1967,2012
Chet Atkins,Luttrell,1988,2012
Eddie Cano,,2005,2006
Terry Riley,Colfax,1992,2013
Mack and Jamie,,1980,2016
Trivium,Orlando,1998,2011
Der Plan,,1959,1991
Reel Big Fish,Orange County,1989,2008
Dylan Kuo,,1974,1992
Martin Sexton,Syracuse,1987,2013
John Mayall & The Bluesbreakers,,1973,1996
Luiz Bonfa,Rio de Janeiro,2006,2007
Chris Standring,California - LA,2002,2014
AngA(c)lla Christie,,1955,1996
Neviss,,1989,2009
Red Hot Chili Peppers,,1995,2017
Chango Spasiuk,Argentina,1965,1986
Charley Patton,Edwards,1916,1958
The Race,,2005,2013
Yahir,Hermosillo Sonora,2001,2010
Gordon MacRae,,1992,2013
The Winans,Detroit,1977,2003
Mario Rosenstock,,1995,2015
Jerry Goldsmith,Los Angeles,1976,1998
Tom Petty And The Heartbreakers,Gainesville,1949,1983
Winston Reedy,,1997,2009
Pablo Montero,,2013,2016
Papa Wemba,Kasai,2002,2017
Pride Tiger,,1992,2008
Ten Years After,Nottingham,1984,1989
Sweet,London,2004,2005
Bamberg Symphony Orchestra and Hans Swarowsky,,2005,2009
Tomorrow,,1994,1997
Ty Herndon;Stephanie Bentley,Meridian,1961,1971
Gary Morris,Fort Worth,2014,2015
Chimaira,Cleveland,1998,2010
Cali,Vernet les Bains,1966,1984
SilvA(c)rio Pessoa,,1991,2017
X-Static,,1990,2009
Deborah Allen,Memphis,1999,2015
The Master Musicians of Jajouka featuring Bachir Attar,London,2000,2014
John Holt,Kingston,1992,2013
The Prodigy,Braintree,1971,1979
Tina Britt,Florida,1986,2012
Sonny Terry & Brownie McGhee,Massachusetts,2001,2010
MxPx,Bremerton,1987,2008
Fort Minor (Featuring Mr. Hahn),LA California,1988,2014
Dean Elliott And His Big Band,,2010,2011
Enslavement Of Beauty,NORWAY,1987,2015
liquid soul & freq,,2000,2009
C.J. Chenier,Port Arthur,1991,2012
Mercedes Castro,,2001,2017
Snow Patrol,Dundee,1993,2016
Antonio Bribiesca,,1962,1972
Pinchers,,2017,2017
Trick Trick / Eminem,,1996,2017
Michael Jackson,,1982,2011
Franco,Sona-Bata,1992,2014
Facto Delafe y las flores azules,,1993,2006
Dora The Explorer,,1998,2011
DJ Spinn,,1990,1998
Theodis Ealey,Georgia,1968,2009
Janet Paschal,North Carolina,1967,1985
Everyday Sunday,Columbus,1986,2002
Peggy Zina,,1998,2015
Souls Of Mischief,Oakland,1985,2004
Hacken Lee,,1991,1993
Bad Brains,Washington,1978,1985
Raze,Wisconsin,1967,1977
The Presets,Sydney,2008,2013
Steve Wilson,Texas,1966,1977
Jennifer Lopez,The Bronx,1982,2001
A.Z.,Oakland,1982,2017
Francisco CA(c)spedes,,1991,2003
Quadro Nuevo,,1976,1978
Chris Farlowe,Essex,1970,2008
The Charms,Mass. - Boston,1963,1999
Matisyahu,Brooklyn,1995,2011
BA(c)la Fleck,,1981,2006
Jongo Trio,,1995,2011
Javier Mendoza Band,United States,1991,1993
